Model,Precision,Recall,F1-Score,Fold
ALBERT,0.6098293826911293,0.4599758994663453,0.40505983956866637,1
ALBERT,0.6569334312384023,0.4595474802879671,0.41576106683116804,2
ALBERT,0.6077919297235491,0.5276223776223776,0.48147778093469695,3
ALBERT,0.578355284266596,0.44929285960676096,0.39867695637706224,4
ALBERT,0.5621980151254846,0.42997043606799706,0.3869711175798978,5
ALBERT,0.6519626503667337,0.569275560883713,0.5534915215450874,6
ALBERT,0.6647088992691786,0.5684491978609626,0.5549820820242835,7
ALBERT,0.7184842398680984,0.6605583147799281,0.6447268774349999,8
ALBERT,0.6797145299689753,0.6377911993097498,0.6207457810811273,9
ALBERT,0.7312486552699381,0.6992803289924606,0.6912676081491326,10
BERT,0.7156702546658007,0.3628851781718024,0.25760095295249297,1
BERT,0.7087605978026984,0.4307507713404182,0.35689531704108113,2
BERT,0.6652452922536362,0.5736013986013986,0.5332800368083791,3
BERT,0.6243190731055209,0.5448430493273543,0.4993169890214005,4
BERT,0.6068720958609073,0.48226164079822614,0.43958459509228387,5
BERT,0.6753549258504302,0.5836615858879945,0.5614860137384791,6
BERT,0.6996819258806304,0.6046345811051693,0.5785742910175095,7
BERT,0.7109500723948271,0.6626134612091111,0.6466898937109945,8
BERT,0.703335239924182,0.6481449525452977,0.6324916606833652,9
BERT,0.731636328666319,0.7020219328307059,0.6937496043508476,10
CodeBERT,0.643340360634163,0.46186951282492683,0.39063092972031305,1
CodeBERT,0.7097074005405769,0.45903325334247513,0.3830984797875841,2
CodeBERT,0.6554851709970834,0.5734265734265734,0.5267381188898989,3
CodeBERT,0.620224177027542,0.5463953087271473,0.49697301098649904,4
CodeBERT,0.6140382443354405,0.4970436067997044,0.4585765254853319,5
CodeBERT,0.6712229811074352,0.5970200376776845,0.5754679316604789,6
CodeBERT,0.710452308422229,0.6270944741532977,0.5990882809771542,7
CodeBERT,0.7373066938194905,0.6778557972255523,0.6603097338814665,8
CodeBERT,0.723463840890144,0.6560828300258844,0.6392080972166387,9
CodeBERT,0.7437167465611955,0.7186429061000685,0.7064165610619038,10
DeBERTa,0.6696666685032576,0.5937338612497848,0.5807214189420826,1
DeBERTa,0.6751573959032668,0.6355845046280425,0.6146092968675057,2
DeBERTa,0.6804280523685846,0.6594405594405595,0.6560473386156432,3
DeBERTa,0.6322232297232397,0.6027940669196274,0.5922698080706473,4
DeBERTa,0.5901125469856245,0.5376940133037694,0.5202199031116513,5
DeBERTa,0.6767036641974778,0.6432608323343039,0.6450595781255409,6
DeBERTa,0.6692314841494151,0.6500891265597148,0.644289479881368,7
DeBERTa,0.7388554840401703,0.70971056687789,0.7082618699922959,8
DeBERTa,0.7030022857515381,0.675237273511648,0.6741671647761648,9
DeBERTa,0.7450493454902416,0.7366346812885538,0.7335804485129798,10
DistilBERT,0.6619911398817957,0.5460492339473231,0.5053844608338286,1
DistilBERT,0.6924616626207272,0.5546794652039767,0.4987995721343028,2
DistilBERT,0.6542490334031549,0.6227272727272727,0.5947004075098652,3
DistilBERT,0.6181657999667862,0.5641600551914453,0.5353004856194938,4
DistilBERT,0.5807005045025746,0.4765336289726534,0.44438016364531485,5
DistilBERT,0.666515194963281,0.6059256722041445,0.5976869054751958,6
DistilBERT,0.669661727468511,0.6303030303030303,0.6144367879607088,7
DistilBERT,0.7210188049423739,0.6754581263915054,0.6648511942109796,8
DistilBERT,0.6997815488727331,0.6562553925798101,0.6441759483549174,9
DistilBERT,0.7299518069321126,0.7129883481836875,0.7025012078174111,10
RoBERTa,0.6468432162612479,0.3892236185229816,0.3012238742203163,1
RoBERTa,0.6912434343040412,0.47326019883441894,0.4012570946041724,2
RoBERTa,0.6729052603520271,0.5774475524475524,0.5240981956350448,3
RoBERTa,0.6182281373285592,0.5236288375301829,0.4771288172213139,4
RoBERTa,0.6020352043442182,0.4754249815225425,0.4418202121299834,5
RoBERTa,0.6856007651135687,0.5884569275560884,0.5681604449962182,6
RoBERTa,0.7100620031583463,0.6240641711229946,0.5948566562670763,7
RoBERTa,0.731801495911181,0.6792258948450077,0.6615343165690484,8
RoBERTa,0.7062122905380005,0.6505608283002589,0.636721121121009,9
RoBERTa,0.7394920257546601,0.7174434544208362,0.7037753315947882,10
SVM,0.6822988871665531,0.6448614219314857,0.626933811421829,1
SVM,0.6853966737720459,0.6429550908467604,0.6318360692486538,2
SVM,0.6913466175342653,0.6657342657342658,0.6542187841015978,3
SVM,0.610544826625889,0.548637461193515,0.5433119347904773,4
SVM,0.5543167895108687,0.4696969696969697,0.452182496307043,5
SVM,0.6561081431213163,0.6019866415482104,0.6030495997814416,6
SVM,0.6527071723703273,0.6035650623885918,0.6011027676208339,7
SVM,0.7139749584686712,0.6576468573385854,0.6609187940020099,8
SVM,0.6826675670768645,0.6612597066436583,0.6587431926859176,9
SVM,0.710047816307073,0.6840301576422207,0.684750192404067,10
